blk.1.ffn_down_exps.weight	116	154
blk.1.ffn_gate_exps.weight	116	154
blk.1.ffn_up_exps.weight	116	154
blk.2.ffn_down_exps.weight	345	153
blk.2.ffn_gate_exps.weight	345	153
blk.2.ffn_up_exps.weight	345	153
blk.1.ffn_down_exps.weight	23	129
blk.1.ffn_gate_exps.weight	23	129
blk.1.ffn_up_exps.weight	23	129
blk.1.ffn_down_exps.weight	93	99
blk.1.ffn_gate_exps.weight	93	99
blk.1.ffn_up_exps.weight	93	99
blk.2.ffn_down_exps.weight	204	86
blk.2.ffn_gate_exps.weight	204	86
blk.2.ffn_up_exps.weight	204	86
blk.2.ffn_down_exps.weight	332	83
blk.2.ffn_gate_exps.weight	332	83
blk.2.ffn_up_exps.weight	332	83
blk.2.ffn_down_exps.weight	29	75
blk.2.ffn_gate_exps.weight	29	75
blk.2.ffn_up_exps.weight	29	75
blk.2.ffn_down_exps.weight	135	67
blk.2.ffn_gate_exps.weight	135	67
blk.2.ffn_up_exps.weight	135	67
blk.1.ffn_down_exps.weight	319	66
blk.1.ffn_gate_exps.weight	319	66
blk.1.ffn_up_exps.weight	319	66
blk.2.ffn_down_exps.weight	200	66
blk.2.ffn_gate_exps.weight	200	66
blk.2.ffn_up_exps.weight	200	66
blk.1.ffn_down_exps.weight	321	63
blk.1.ffn_gate_exps.weight	321	63
blk.1.ffn_up_exps.weight	321	63
blk.2.ffn_down_exps.weight	298	63
blk.2.ffn_gate_exps.weight	298	63
blk.2.ffn_up_exps.weight	298	63
blk.2.ffn_down_exps.weight	15	60
blk.2.ffn_gate_exps.weight	15	60
blk.2.ffn_up_exps.weight	15	60
blk.1.ffn_down_exps.weight	197	59
blk.1.ffn_gate_exps.weight	197	59
blk.1.ffn_up_exps.weight	197	59
blk.2.ffn_down_exps.weight	111	59
blk.2.ffn_gate_exps.weight	111	59
blk.2.ffn_up_exps.weight	111	59
blk.2.ffn_down_exps.weight	283	58
blk.2.ffn_gate_exps.weight	283	58
blk.2.ffn_up_exps.weight	283	58
blk.1.ffn_down_exps.weight	41	56
blk.1.ffn_gate_exps.weight	41	56
blk.1.ffn_up_exps.weight	41	56
blk.2.ffn_down_exps.weight	246	54
blk.2.ffn_down_exps.weight	326	54
blk.2.ffn_down_exps.weight	331	54
blk.2.ffn_gate_exps.weight	246	54
blk.2.ffn_gate_exps.weight	326	54
blk.2.ffn_gate_exps.weight	331	54
blk.2.ffn_up_exps.weight	246	54
blk.2.ffn_up_exps.weight	326	54
blk.2.ffn_up_exps.weight	331	54
blk.1.ffn_down_exps.weight	82	51
blk.1.ffn_gate_exps.weight	82	51
blk.1.ffn_up_exps.weight	82	51
blk.2.ffn_down_exps.weight	322	50
blk.2.ffn_gate_exps.weight	322	50
blk.2.ffn_up_exps.weight	322	50
blk.1.ffn_down_exps.weight	43	49
blk.1.ffn_down_exps.weight	114	49
blk.1.ffn_gate_exps.weight	43	49
blk.1.ffn_gate_exps.weight	114	49
blk.1.ffn_up_exps.weight	43	49
blk.1.ffn_up_exps.weight	114	49
blk.2.ffn_down_exps.weight	96	47
blk.2.ffn_down_exps.weight	376	47
blk.2.ffn_gate_exps.weight	96	47
blk.2.ffn_gate_exps.weight	376	47
blk.2.ffn_up_exps.weight	96	47
blk.2.ffn_up_exps.weight	376	47
blk.1.ffn_down_exps.weight	147	44
blk.1.ffn_gate_exps.weight	147	44
blk.1.ffn_up_exps.weight	147	44
blk.2.ffn_down_exps.weight	266	43
blk.2.ffn_gate_exps.weight	266	43
blk.2.ffn_up_exps.weight	266	43
blk.2.ffn_down_exps.weight	126	42
blk.2.ffn_gate_exps.weight	126	42
blk.2.ffn_up_exps.weight	126	42
blk.1.ffn_down_exps.weight	56	41
